DEBUG | 2018-03-23 15:58:37,167 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass1.DetectDuplicatedCodeClassVisitor | SIGNATURE:23:3:
DEBUG | 2018-03-23 15:58:37,168 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.pass1.DetectDuplicatedCodeClassVisitor | SIGNATURE:29:4:89;MI:183:org/springframework/cloud/netflix/zuul/filters/ZuulProperties:<init>:()V;176;
DEBUG | 2018-03-23 15:58:37,173 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/cxgm/ZuulApplication:0: Registering label (1) L1370651081
DEBUG | 2018-03-23 15:58:37,173 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/cxgm/ZuulApplication:19: Registering line (2) L1370651081
DEBUG | 2018-03-23 15:58:37,174 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/cxgm/ZuulApplication:19: Registering label (3) L1909546776
DEBUG | 2018-03-23 15:58:37,174 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/cxgm/ZuulApplication:0: Registering label (4) L392781299
DEBUG | 2018-03-23 15:58:37,174 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/cxgm/ZuulApplication:22: Registering line (5) L392781299
DEBUG | 2018-03-23 15:58:37,175 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/cxgm/ZuulApplication:22: Registering label (6) L1822383117
DEBUG | 2018-03-23 15:58:37,175 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/cxgm/ZuulApplication:23: Registering line (7) L1822383117
DEBUG | 2018-03-23 15:58:37,175 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/cxgm/ZuulApplication:23: Registering label (8) L233021551
DEBUG | 2018-03-23 15:58:37,175 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/cxgm/ZuulApplication:0: Registering label (9) L1991313236
DEBUG | 2018-03-23 15:58:37,175 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/cxgm/ZuulApplication:29: Registering line (10) L1991313236
DEBUG | 2018-03-23 15:58:37,175 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.tp.ClassMap | com/cxgm/ZuulApplication:29: Registering label (11) L736778932
DEBUG | 2018-03-23 15:58:37,175 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | =============== Detected duplicated code =============
DEBUG | 2018-03-23 15:58:37,175 | [FILE_NAME_IS_UNDEFINED,,,] | main net.sourceforge.cobertura.instrument.CoberturaInstrumenter | =============== End of detected duplicated code ======
